index,state_year,educ
0,AK-2006,26.9
1,AK-2007,26.0
2,AK-2008,27.3
3,AK-2009,26.6
4,AK-2010,27.9
5,AK-2011,26.4
6,AK-2012,28.0
7,AK-2013,28.0
8,AK-2014,28.0
9,AL-2006,21.1
10,AL-2007,21.4
11,AL-2008,22.0
12,AL-2009,22.0
13,AL-2010,21.9
14,AL-2011,22.3
15,AL-2012,23.3
16,AL-2013,23.5
17,AL-2014,23.5
18,AR-2006,18.2
19,AR-2007,19.3
20,AR-2008,18.8
21,AR-2009,18.9
22,AR-2010,19.5
23,AR-2011,20.3
24,AR-2012,21.0
25,AR-2013,20.6
26,AR-2014,21.4
27,AZ-2006,25.5
28,AZ-2007,25.3
29,AZ-2008,25.1
30,AZ-2009,25.6
31,AZ-2010,25.9
32,AZ-2011,26.6
33,AZ-2012,27.3
34,AZ-2013,27.4
35,AZ-2014,27.6
36,CA-2006,29.0
37,CA-2007,29.5
38,CA-2008,29.6
39,CA-2009,29.9
40,CA-2010,30.1
41,CA-2011,30.3
42,CA-2012,30.9
43,CA-2013,31.0
44,CA-2014,31.7
45,CO-2006,34.3
46,CO-2007,35.0
47,CO-2008,35.6
48,CO-2009,35.9
49,CO-2010,36.4
50,CO-2011,36.7
51,CO-2012,37.5
52,CO-2013,37.8
53,CO-2014,38.3
54,CT-2006,33.7
55,CT-2007,34.7
56,CT-2008,35.6
57,CT-2009,35.6
58,CT-2010,35.5
59,CT-2011,36.2
60,CT-2012,37.1
61,CT-2013,37.2
62,CT-2014,38.0
63,DE-2006,27.0
64,DE-2007,26.1
65,DE-2008,27.5
66,DE-2009,28.7
67,DE-2010,27.8
68,DE-2011,28.8
69,DE-2012,29.5
70,DE-2013,29.8
71,DE-2014,30.6
72,FL-2006,25.3
73,FL-2007,25.8
74,FL-2008,25.8
75,FL-2009,25.3
76,FL-2010,25.8
77,FL-2011,25.8
78,FL-2012,26.8
79,FL-2013,27.2
80,FL-2014,27.3
81,GA-2006,26.6
82,GA-2007,27.1
83,GA-2008,27.5
84,GA-2009,27.5
85,GA-2010,27.3
86,GA-2011,27.6
87,GA-2012,28.2
88,GA-2013,28.3
89,GA-2014,29.1
90,HI-2006,29.7
91,HI-2007,29.2
92,HI-2008,29.1
93,HI-2009,29.6
94,HI-2010,29.5
95,HI-2011,29.1
96,HI-2012,30.1
97,HI-2013,31.2
98,HI-2014,31.0
99,IA-2006,24.0
100,IA-2007,24.3
101,IA-2008,24.3
102,IA-2009,25.1
103,IA-2010,24.9
104,IA-2011,25.8
105,IA-2012,26.3
106,IA-2013,26.4
107,IA-2014,27.7
108,ID-2006,23.3
109,ID-2007,24.5
110,ID-2008,24.0
111,ID-2009,23.9
112,ID-2010,24.4
113,ID-2011,25.2
114,ID-2012,25.5
115,ID-2013,26.2
116,ID-2014,25.0
117,IL-2006,28.9
118,IL-2007,29.5
119,IL-2008,29.9
120,IL-2009,30.6
121,IL-2010,30.8
122,IL-2011,31.0
123,IL-2012,31.6
124,IL-2013,32.1
125,IL-2014,32.8
126,IN-2006,21.7
127,IN-2007,22.1
128,IN-2008,22.9
129,IN-2009,22.5
130,IN-2010,22.7
131,IN-2011,23.0
132,IN-2012,23.4
133,IN-2013,23.8
134,IN-2014,24.7
135,KS-2006,28.6
136,KS-2007,28.8
137,KS-2008,29.6
138,KS-2009,29.5
139,KS-2010,29.8
140,KS-2011,30.1
141,KS-2012,30.4
142,KS-2013,31.1
143,KS-2014,31.5
144,KY-2006,20.0
145,KY-2007,20.0
146,KY-2008,19.7
147,KY-2009,21.0
