index,state_year,income
0,AK-2006,82020
1,AK-2007,89290
2,AK-2008,87500
3,AK-2009,84570
4,AK-2010,78340
5,AK-2011,75440
6,AK-2012,82020
7,AK-2013,92270
8,AK-2014,84900
9,AL-2006,55180
10,AL-2007,59840
11,AL-2008,60810
12,AL-2009,54890
13,AL-2010,55440
14,AL-2011,55940
15,AL-2012,56010
16,AL-2013,60250
17,AL-2014,53070
18,AR-2006,53880
19,AR-2007,57830
20,AR-2008,54130
21,AR-2009,50160
22,AR-2010,52260
23,AR-2011,54250
24,AR-2012,50280
25,AR-2013,50130
26,AR-2014,56390
27,AZ-2006,67830
28,AZ-2007,66930
29,AZ-2008,64150
30,AZ-2009,62790
31,AZ-2010,63510
32,AZ-2011,63860
33,AZ-2012,60620
34,AZ-2013,66980
35,AZ-2014,61830
36,CA-2006,80430
37,CA-2007,79000
38,CA-2008,77960
39,CA-2009,77070
40,CA-2010,73520
41,CA-2011,70100
42,CA-2012,73480
43,CA-2013,77400
44,CA-2014,75930
45,CO-2006,80970
46,CO-2007,86670
47,CO-2008,83330
48,CO-2009,76790
49,CO-2010,81570
50,CO-2011,77010
51,CO-2012,73780
52,CO-2013,86470
53,CO-2014,76500
54,CT-2006,90730
55,CT-2007,90920
56,CT-2008,88440
57,CT-2009,89030
58,CT-2010,89380
59,CT-2011,85920
60,CT-2012,82790
61,CT-2013,88220
62,CT-2014,88080
63,DE-2006,76240
64,DE-2007,77380
65,DE-2008,69330
66,DE-2009,71550
67,DE-2010,74780
68,DE-2011,71800
69,DE-2012,63110
70,DE-2013,68870
71,DE-2014,72210
72,FL-2006,66410
73,FL-2007,64910
74,FL-2008,61340
75,FL-2009,62650
76,FL-2010,59680
77,FL-2011,59250
78,FL-2012,59370
79,FL-2013,61790
80,FL-2014,57920
81,GA-2006,71740
82,GA-2007,68950
83,GA-2008,63210
84,GA-2009,59500
85,GA-2010,59750
86,GA-2011,60390
87,GA-2012,62010
88,GA-2013,59830
89,GA-2014,62210
90,HI-2006,87910
91,HI-2007,90750
92,HI-2008,84120
93,HI-2009,76400
94,HI-2010,80630
95,HI-2011,77560
96,HI-2012,72500
97,HI-2013,81780
98,HI-2014,89410
99,IA-2006,69970
100,IA-2007,69330
101,IA-2008,68560
102,IA-2009,69630
103,IA-2010,66380
104,IA-2011,65960
105,IA-2012,68870
106,IA-2013,76590
107,IA-2014,72570
108,ID-2006,67190
109,ID-2007,69720
110,ID-2008,64840
111,ID-2009,64220
112,ID-2010,63720
113,ID-2011,62340
114,ID-2012,61750
115,ID-2013,61710
116,ID-2014,67080
117,IL-2006,70760
118,IL-2007,74430
119,IL-2008,72820
120,IL-2009,72580
121,IL-2010,68700
122,IL-2011,66510
123,IL-2012,66670
124,IL-2013,68670
125,IL-2014,68940
126,IN-2006,66010
127,IN-2007,67260
128,IN-2008,63610
129,IN-2009,60830
130,IN-2010,62490
131,IN-2011,58380
132,IN-2012,59480
133,IN-2013,62970
134,IN-2014,60330
135,KS-2006,66230
136,KS-2007,68740
137,KS-2008,65470
138,KS-2009,61390
139,KS-2010,62370
140,KS-2011,60610
141,KS-2012,64440
142,KS-2013,60880
143,KS-2014,67090
144,KY-2006,57410
145,KY-2007,55920
146,KY-2008,56260
147,KY-2009,58570
148,KY-2010,55670
149,KY-2011,52350
150,KY-2012,52940
151,KY-2013,57140
152,KY-2014,53710
153,LA-2006,53050
154,LA-2007,58560
155,LA-2008,54100
156,LA-2009,62370
157,LA-2010,53220
158,LA-2011,53400
159,LA-2012,50370
160,LA-2013,59110
161,LA-2014,53230
162,MA-2006,80440
163,MA-2007,82870
164,MA-2008,82480
165,MA-2009,81510
166,MA-2010,82520
167,MA-2011,83160
168,MA-2012,82030
169,MA-2013,79610
170,MA-2014,79280
171,MD-2006,92560
172,MD-2007,93030
173,MD-2008,87120
174,MD-2009,88120
175,MD-2010,86950
176,MD-2011,90470
177,MD-2012,92570
178,MD-2013,88300
179,MD-2014,95610
180,ME-2006,66360
181,ME-2007,67890
182,ME-2008,64580
183,ME-2009,65210
184,ME-2010,64910
185,ME-2011,65270
186,ME-2012,63350
187,ME-2013,69970
188,ME-2014,64910
189,MI-2006,70730
190,MI-2007,69980
191,MI-2008,68080
192,MI-2009,63140
193,MI-2010,62670
194,MI-2011,64200
195,MI-2012,64450
196,MI-2013,72020
197,MI-2014,65280
198,MN-2006,81720
199,MN-2007,82300
200,MN-2008,75100
201,MN-2009,77000
202,MN-2010,70860
203,MN-2011,75950
204,MN-2012,79630
205,MN-2013,81900
206,MN-2014,84410
207,MO-2006,64810
208,MO-2007,65210
209,MO-2008,62950
210,MO-2009,66950
211,MO-2010,62050
212,MO-2011,60120
213,MO-2012,64130
214,MO-2013,58950
215,MO-2014,71090
216,MS-2006,50500
217,MS-2007,52840
218,MS-2008,49830
219,MS-2009,48160
220,MS-2010,51680
221,MS-2011,53970
222,MS-2012,47220
223,MS-2013,41170
224,MS-2014,44590
225,MT-2006,59760
226,MT-2007,61880
227,MT-2008,58660
228,MT-2009,55520
229,MT-2010,55910
230,MT-2011,52900
231,MT-2012,58100
232,MT-2013,55000
233,MT-2014,64150
234,NC-2006,57860
235,NC-2007,61680
236,NC-2008,58700
237,NC-2009,57530
238,NC-2010,59360
239,NC-2011,59380
240,NC-2012,53550
241,NC-2013,59000
242,NC-2014,58730
243,ND-2006,59680
244,ND-2007,66910
245,ND-2008,67860
246,ND-2009,68750
247,ND-2010,69080
248,ND-2011,74030
249,ND-2012,71860
250,ND-2013,75310
251,ND-2014,76240
252,NE-2006,70000
253,NE-2007,69700
254,NE-2008,69360
255,NE-2009,68090
256,NE-2010,71110
257,NE-2011,73050
258,NE-2012,67260
259,NE-2013,73370
260,NE-2014,71390
261,NH-2006,90090
262,NH-2007,95790
263,NH-2008,90490
264,NH-2009,88040
265,NH-2010,90240
266,NH-2011,86530
267,NH-2012,87390
268,NH-2013,87980
269,NH-2014,92140
270,NJ-2006,98950
