index,state_year,R1M20,R1M40,R1M60,R1M80,R1F20,R1F40,R1F60,R1F80,R2M20,R2M40,R2M60,R2M80,R2F20,R2F40,R2F60,R2F80,R3M20,R3M40,R3M60,R3M80,R3F20,R3F40,R3F60,R3F80,R4M20,R4M40,R4M60,R4M80,R4F20,R4F40,R4F60,R4F80,R5M20,R5M40,R5M60,R5M80,R5F20,R5F40,R5F60,R5F80,R6M20,R6M40,R6M60,R6M80,R6F20,R6F40,R6F60,R6F80
0,AL-2010,1734582,1693796,1894220,1173604,889376,858172,940558,544396,833786,705630,659116,273050,420124,324838,300070,116230,20824,19716,17816,6756,10740,10388,8768,3430,31818,41146,28338,9374,15976,20332,12630,3742,3908,4560,1500,336,2074,2772,830,170,66232,29390,22814,9748,33286,14262,11024,4470
1,AL-2011,1716436,1689972,1893802,1198940,880036,854574,940352,556994,821120,715284,660572,285336,413982,329954,299588,122064,19996,19512,18100,7248,10296,10204,8888,3686,32544,41828,29590,10208,16330,20216,13382,4042,3708,4390,1558,362,1944,2622,872,196,69752,30262,23068,10268,35148,14660,11212,4716
2,AL-2012,1696284,1684770,1893796,1223762,869824,850158,940420,569532,810876,726200,662968,299136,408906,336266,300396,128524,19270,19554,18318,7804,9780,10226,9028,3990,33978,44116,31408,11018,17080,21014,14432,4366,3554,4242,1694,402,1896,2488,928,220,73062,31428,23452,10910,37018,15244,11330,5018
3,AL-2013,1680994,1681214,1886940,1249134,861136,848030,937416,581622,800678,737778,665190,312594,403626,344092,300848,134598,18700,19412,18450,8350,9450,10112,9068,4266,35014,45090,32896,11852,17362,21460,15248,4680,3442,4082,1782,444,1784,2340,988,250,75812,32582,23770,11474,38300,15724,11426,5306
4,AL-2014,1671696,1676584,1871890,1276758,855904,845450,930034,594548,789342,746270,665080,327060,397572,349600,300052,140932,18230,19470,18544,8962,9226,10146,9122,4570,35890,45276,34646,12752,17562,21614,16116,5042,3396,4002,1890,480,1704,2302,1024,276,78398,33608,23892,12044,39628,16078,11476,5608
5,AK-2010,253272,279662,310394,114250,131536,149998,165126,61074,16168,17018,12588,3112,8402,10002,7100,1568,82308,58566,51458,18604,42518,29944,25676,8752,23684,22820,22948,8162,12080,10830,10430,3300,6884,5240,2740,616,3494,2706,1416,294,56034,25732,13462,3538,28766,12590,6572,1754
6,AK-2011,252194,281830,308500,121456,131228,150628,163812,64968,16580,17512,12854,3398,8720,10276,7308,1704,82946,60084,51138,19438,42828,30792,25486,9184,24062,23798,23594,8730,12390,11288,10792,3570,7008,5568,2906,708,3578,2848,1492,344,56374,26616,13796,3746,29004,13068,6722,1866
7,AK-2012,248936,287692,304942,128642,129664,155026,161650,68754,16680,18760,13450,3720,8810,11222,7640,1868,83462,61380,50840,20264,43094,31512,25320,9562,24342,24916,24358,9342,12542,11982,11192,3850,7316,5924,3190,790,3710,3002,1648,376,56370,27456,13946,4016,29020,13410,6770,1994
8,AK-2013,246306,294568,297330,135366,128776,160350,157484,72290,16992,19830,13160,3988,8956,12032,7542,1998,83614,63122,50588,21090,43254,32640,25328,9910,24942,26244,25026,10006,12950,12626,11560,4152,7558,6378,3328,838,3812,3236,1698,408,56148,28692,14010,4188,28934,14096,6776,2086
9,AK-2014,242964,295170,288016,141744,127142,161020,152584,75566,16520,19762,13006,4228,8722,12074,7448,2170,83970,64148,50002,21968,43316,33340,25156,10292,24610,26864,25208,10626,12750,13036,11674,4462,7428,6500,3486,870,3780,3282,1782,436,55940,29410,14066,4452,28846,14602,6822,2202
10,AZ-2010,3063542,2818422,2803452,1799634,1568628,1441702,1378496,855922,202958,176790,133644,45122,105434,95208,69912,21618,267214,202096,144498,51898,134912,102940,68866,23124,106470,135500,96762,37096,53716,65396,42364,14712,11430,11918,6836,2018,5930,6652,3786,1040,169776,79912,41566,14790,86168,39166,20008,6970
